"code","page","keywords","urls","snippet"
"CO","4","RIT","","4 CDOT Resilience Improvement Plan Introduction The Colorado Department of Transportation’s (CDOT’s) Resilience Improvement Plan (RIP) illustrates how resilience practices are being implemented into Colorado's transportation system processes. CDOT has been making progress towards proactively managing risks, minimizing disruptions, and adapting to changing conditions through the Risk and Resilience Program. Colorado's transportation infrastructure directly affects the lives of all people living in the state and provides an essential service that underpins the state's economy and the movement of people, goods, and information. Maintaining secure, functioning, and resilient infrastructure is critical to the travelers’ safety, prosperity, and well-being. Resiliency became a priority for CDOT after a 2013 flood disaster along the Front Range resulted in nine deaths and caused over $4 billion in damage across the state. The event caused severe damage to roughly 500 miles of road and 50 bridges and required more than $750 million in emergency repairs to the state highway system alone. Every day the transportation system faces threats including floods, fires, avalanches, rockfall, and othe"
"CO","5","tool; RIT","","5 CDOT Resilience Improvement Plan resilience of the surface transportation system is assessed as part of CDOT’s immediate and long-range planning activities and investments investment strategy. The Risk and Resilience Program is rooted in science- and data-oriented processes and tools that are being updated and refined continuously. As part of CDOT’s adaptable approach to resilience improvement planning efforts, CDOT will continue updating this RIP to address changes in project prioritization, perform updates to tools/resources/methods, and incorporate lessons learned from varying experiences with threats. Building resilience is like an insurance policy; by identifying a threat and implementing risk management strategies, we can reduce the risk to our system from future events. Proactive management of threats before they occur minimizes the resources needed to rebuild and restore service, minimizes the disruptions to people’s lives and to business activity, and lowers the cost to CDOT and the traveling public in the long run."
"CO","8","RIT","","8 CDOT Resilience Improvement Plan • Office of Innovative Mobility • Colorado Transportation Commission (TC) • Federal Highway Administration (FHWA) • Federal Emergency Management Agency (FEMA) and local offices of emergency management • Statewide Transportation Advisory Committee (STAC) • Transportation consultants/specialists • Transportation Research Board (TRB) • American Association of State Highway and Transportation Officials (AASHTO) 1.2 Benefits of Resilience Planning The benefits of resilience are widespread, including safety benefits, fiscal benefits by saving the public funds, social and economic benefits, improving public health and response, and by saving the public time and ensuring timely access to markets for businesses and other everyday destinations. Resilience improvements or countermeasures can minimize the loss of life and personal injuries from natural hazard events for the users of transportation infrastructure. Managing risks saves money. A report from the United Nations indicated that every $1 invested in risk reduction and prevention can save up to $15 in post-disaster recovery. The National Institute of Building Sciences found that every $1 spent improvi"
"CO","10","tool; RIT","","10 CDOT Resilience Improvement Plan Resilience Study found that climate variable trends could affect geophysical processes, geohazard event frequency, and event magnitude, leading to increased rockfall, debris flow, and landslide under certain modeled scenarios. A 2024 study commissioned by FEMA and the Colorado Water Conservation Board (CWCB) developed a methodology to predict future precipitation and intensity duration frequency (IDF) curves out to calendar year 2100. The results and tools from that study are now being tested by CDOT Hydraulics to determine how design criteria must adapt to a changing climate and enhance benefit-cost analysis. According to the US Environmental Protection Agency (EPA), four socially vulnerable populations—defined based on income, educational attainment, race and ethnicity, and age— may be more exposed to the highest impacts of climate change. Managing risks to vulnerable transportation infrastructure, evacuation planning, and disaster recovery strategies can reduce inequities. CDOT partnered in developing the Colorado’s Enhanced State Hazard Mitigation Plan (E-SHMP), where it was noted that it is important to reduce risk to disproportionately impa"
"CO","11","gis; RIT","","11 CDOT Resilience Improvement Plan risk register (Section 2.3.2) include: snow and avalanche events; geohazards, including landslide, debris flow, and rockfall; flooding; and wildfire. • 2019 Colorado State Emergency Operations Plan (EOP) outlines general guidelines on how the state carries out its response and recovery responsibilities to address an emergency or disaster event. CDOT coordinated with the Division of Homeland Security and Emergency Management on Incident Debris Management, Recovery, and Emergency Support Function annexes. • 2020 Resource Mobilization Plan is an all-hazards plan for the allocation, mobilization, and deployment of resources in the event of a disaster or local incident that requires more resources than those available under any existing jurisdictional or mutual aid agreement. The document contains a transportation section which describes how the State Emergency Operations Center coordinates with CDOT. These plans address topics highlighted in the IIJA’s RIP requirements, including resilience of other community assets (such as housing, health and social assets, infrastructure, and watersheds and natural resources); emergency response and mobilization o"
"CO","12","tool; RIT","","12 CDOT Resilience Improvement Plan are integral to Colorado adapting and thriving in adversity. The development and implementation of the framework is the charge of the CRWG, an interagency stewardship committee, of which CDOT is an active member, which works across agencies to leverage resources, build awareness, and integrate resiliency strategies across departments. The framework evaluates risks and vulnerabilities that focus on changing climate, understanding the risks and vulnerabilities from natural and other hazards, addressing the social inequities and unique community needs, and pursuing economic diversity and vibrancy. The Colorado Resiliency Framework was the first of its kind in the nation, with the first framework released in 2015 and updated in 2020. CDOT is identified as a lead agency for many of the resiliency-strengthening strategies identified in the framework. The framework defines six resiliency priority areas that enhances resiliency and a vibrant future for Coloradans: • Agriculture & Food Security • Buildings & Infrastructure Sustainability • Climate & Natural Hazard Resiliency • Community Capacity • Future-Ready Economy & Workforce • Housing Attainability E"
"CO","13","tool; gis; RIT","","13 CDOT Resilience Improvement Plan transportation plan to recognize advances in resiliency planning and to identify opportunities for further advancement. Section 2: Risk Management Approach 2.1 Resilience vs. Risk Management As described in Section 1, resiliency is the ability of a system to rebound, positively adapt to, or thrive amidst changing conditions or challenges, including human-caused and natural disasters, and to maintain quality of life, healthy growth, durable systems, economic vitality, and conservation of resources for present and future generations. Risk is an uncertainty that can have either positive or negative impacts. For transportation planning purposes, risk can be understood as a factor of the consequences of an event, the vulnerability of an asset to those consequences, and threat likelihood. Risk can be calculated for both owners and users of the transportation system. Risk Management is an inclusive management strategy that addresses risks, including mitigation strategies and preparedness approaches for emergencies. Risk management requires the identification and assessment of threats, evaluation of potential mitigation actions to reduce the impact of th"
"CO","14","RIT","","14 CDOT Resilience Improvement Plan nomenclature. ISO guidance includes identifying sources of threats, causes, areas of impacts, and potential consequences. CDOT uses a tiered approach to manage risks, from the CDOT-wide level down to the activity level. Specifically, CDOT incorporates four levels of risk management into its program: • Enterprise (Strategic, Corporate) – Threats that affect mission, vision, and overall results of the asset-management program. Examples include politics, public perception, reputation, and levels of available revenue. • Program (Business Line) - Threats that affect CDOT’s ability to deliver projects and meet targets within a program. These may include organizational and systemic issues as well as revenue and economic uncertainties that cause delays. These causes are not related to any specific projects. Examples include project-delivery threats, revenue uncertainties, cost-estimating processes, revenue and inflation projection inaccuracies, construction cost variations, materials price volatility, data quality, and employee retirements. • Project - Threats that affect the cost and schedule to deliver projects throughout the agency. Examples include s"
"CO","15","application; gis; RIT","","15 CDOT Resilience Improvement Plan 2.3 Defined Risk Process CDOT’s approach to evaluating and prioritizing risks includes assessing likelihood, consequence, vulnerability, and other considerations. The Executive Oversight Committee for Transportation Asset Management, and other CDOT SMEs participated in multiple workshops to identify enterprise-level threats, considerations, and various scoring rubrics to develop a prioritized lists of risks in a register. The threats and risk scores are updated every four years as aligned with the Transportation Asset Management Plan (TAMP) update cycle, or as needed by the Risk and Resilience Program as directed by the Executive Oversight Committee. CDOT’s top 10 enterprise risks are in Section 2.3.2 below. While CDOT’s TAMP includes the initial documentation of the prioritized risk register, the threats identified extend beyond specific applications to transportation asset management. The TAMP prepares Colorado’s transportation infrastructure for the future by analyzing risks, costs vs. needs, resources, and innovation opportunities across all twelve of its asset classes: pavement, bridges, buildings, culverts, fleet, geohazards, Intelligent Tr"
"CO","16","tool; gis","","16 CDOT Resilience Improvement Plan impacts that can be qualified and quantified. Considerations are results that may have an impact, but the level of impact is unknown. There are four consequence variables for which CDOT assigns a value of one to five, with one being low or no impact, and five being severe impact. The four variables are: • Safety - event causes crashes, injuries, fatalities, or property damage (non-CDOT owned). • Mobility - event affects access for the traveling public, commerce, etc. • Asset Damage - event causes physical damage to CDOT-owned assets. • Other Financial Impacts - event causes financial impacts to CDOT or financial impact on the community, overall economy, etc. As mentioned, considerations within the register are impacts that are difficult to quantify. CDOT assigns a value of 0.05 to each consideration relevant to the risk in question. Under the risk calculation, consequences and considerations are calculated independently. They are then combined to give an overall (C) score. There are five consideration variables in the register: • Funding - Does CDOT have adequate funds to deal with the risk event and potential impacts? Could the event affect futu"
"CO","17","tool; application; gis; RIT","","17 CDOT Resilience Improvement Plan estimate for the project. The risk register should then be maintained as part of the project file that also includes information related to the initial and future cost estimates. Proper application of cost estimating and risk management tools will result in the generation of credible ranges of costs of projects included in the long-range plan. CDOT’s risk register contains four primary elements: a threat/opportunity description, a risk statement (covered in Section 2.3.2), the risk score (covered in Section 2.3.1), and the preferred risk management strategies. The results of individual asset class risk assessments are described in the Transportation Asset Management Plan. The risk statement is a brief description of the worst reasonable case (WRC) should an event occur. The WRC is a term that represents the maximum realistic losses of an asset from an applicable threat. The risk management strategies provide preferred approaches to risk management by identifying combinations of five strategies to manage top-priority risks. These strategies are adapted from the risk response model developed by L.M. Smith and J.M. Violanti, and include: • Treating "
"CO","18","tool; gis","","18 CDOT Resilience Improvement Plan From these risks, the Risk and Resilience Program has focused efforts to managing the natural threats detailed in Table 1 below. Table 1 - CDOT Enterprise-Level Risk Register Threat/Opportunity Risk Statement Risk Score Risk Management Strategy Flood There is a risk that flooding occurs leading to asset/route damage that causes mobility and safety impacts as well as increased asset management cost. 68 (T)5 * (C)4.5 * (V)3 Treat by implementing design standards; following agency continuity of operations plan; maintaining incident command center management structure; maintaining an Office of Emergency Management (OEM). Use tools and processes developed under the resilience program to identify high risk assets and corridors for focused analysis. Post-Fire Debris Flow There is a risk that post- fire debris flow occurs leading to asset/route damage that causes mobility and safety impacts as well as increased asset management cost. 48 (T)4 * (C)3 * (V)4 Treat by maintaining an OEM. Maintenance landscaping, erosion control, jersey barriers, and other practices. Geohazards There is a risk of geotechnical failure that causes mobility and safety impacts as"
"CO","20","tool; map; interactive; screening","","20 CDOT Resilience Improvement Plan • Colorado Climate Change Vulnerability Study – The Colorado Climate Change Vulnerability Study (2015) looked at the impacts of Colorado's climate past and future to the transportation sector. The report identifies key climate impacts, vulnerabilities, and recommendations towards preparedness. In addition to the above studies, CDOT also uses several tools to understand climate-related risks: • Colorado EnviroScreen – EnviroScreen is an interactive environmental justice mapping tool and health screening tool for Colorado. The tool identifies areas with past and current environmental inequities, and pinpoints disproportionately impacted communities that CDOT has to understand potential GHG impacts of transportation investments. • Fifth National Climate Assessment - The Fifth National Climate Assessment (2024) reports on climate change impacts, risks, and responses every four years, as mandated by the Global Change Research Act of 1990. Chapter 13: Transportation and Chapter 28: Southwest are of particular relevance to this RIP. • Future Avoided Cost Explorer (FACE Hazards) – The FACE Hazards tool, provided by the Colorado Water Conservation Board, "
"CO","21","dashboard","","21 CDOT Resilience Improvement Plan Figure 4 - Colorado's Dashboard for Future Climate Conditions Colorado is susceptible to adverse effects of climate change and extreme weather events, including both exposure to threats—for example, how climate change will affect resources in the state—as well as to damage from natural hazards. Climate change impacts the state’s resources in a variety of ways, including more rapid snowmelt, longer and more severe droughts, and longer growing seasons. Colorado’s climate related disasters, such as floods, droughts, and wildfires, will continue to occur in the future and pose serious hazards to public safety and the economy. Climate change and extreme weather events can negatively impact safety and asset management. Key vulnerabilities identified in the Climate Change Vulnerability Study for Colorado’s transportation sector are detailed in Table 2 below."
"CO","22","RIT","","22 CDOT Resilience Improvement Plan Table 2 – Colorado’s Transportation Sector Vulnerabilities due to Climate Change* Impacts of Current Climate Variability and Future Climate Change Examples of Potential Vulnerabilities Sustained extreme heat • Causes road and runway buckling. • Stresses bridge integrity. • Limits construction crew schedules. • Results in loss of lift for airplanes. • Causes rail deformation as well as derailments. • The road system is vulnerable given the current adaptive capacity. Increased need for road maintenance closures for heat- related problems is possible in the future. • Airports may be vulnerable to reduced cargo capacity due to warmer air, particularly if unable to extend runways. • Rail lines are vulnerable to increased heat due to the very high cost of installing more heat-resistant tracks. More frequent and intense drought which increases wildfire risk • Causes road closures, reduced visibility, and a greater risk of mudslides; decreases safety. • Wildfire creates cascading disasters that follow, especially flash floods and debris slides; decreases safety and damages highway assets. • All elements of the transportation system are vulnerable to clos"
"CO","23","RIT","","23 CDOT Resilience Improvement Plan Table 3 - Climate and Transportation Vulnerabilities** Transport Mode Extreme Temperatures Storms Drought Fire Active transport (walking and biking) • Shift from active transport to vehicle or public transport • Adverse health impacts for walkers and cyclists, including heat- related death and illness • Shift from active transport to vehicle or public transport • Obstructions and infrastructure damage • Adverse health impacts for walkers and cyclists due to degraded air quality and increased risk for respiratory illness • Shift from active transport to vehicle or public transport • Reduced active transport due to short- and long-term health impairments Roadways • Cracking, buckling, and rutting from heat and permafrost thaw • Unsafe working conditions • Increased maintenance frequency • Damage from flooding, erosion, saturated soil, and sea level rise • Increased risk of landslides • Reduced life- cycle from repeated runoff events • Travel lanes and bus routes blocked or rerouted due to flooding • Reduced pavement integrity due to subsidence, collapsible soils, and increased groundwater pumping • Reduced slope stability due to decreased roadside "
"CO","24","map; interactive; application; criticality map; RIT","","24 CDOT Resilience Improvement Plan 3.3 System Level Evaluation FHWA suggests that transportation planning agencies conduct a system level vulnerability assessment of their transportation assets to identify which portions of their system are most at risk of damage from threats. At the systemwide planning scale, a vulnerability assessment may be more of a high level, broad brush look at where the system is at potential risk to various threats and where damage is likely to be greatest. The assessment may cover a variety of threats or could be limited to one or two threats most likely to occur within the study area. CDOT utilized a quantitative risk-based approach which identified that flooding, rockfall, and fire/debris flow tend to be the most impactful events in Colorado. FHWA advises agencies to consider three factors when identifying asset vulnerability: • Whether the assets are located within areas exposed to the selected threat(s). • How likely the asset is to be damaged/compromised if the threat occurs. • The adaptive capacity of the system to recover. In other words, how quickly or easily the system can recover from an event and how severely it compromises system operations. "
"CO","25","map; criticality map; RIT","","25 CDOT Resilience Improvement Plan Several reviews of the resulting criticality scores were conducted with members of the CRWG, the EOC, the CDOT TC, and CDOT regional staff. Many discussions ensued as to the potential use of the resulting criticality, and it should be noted that the purpose of the ranking is simply to reflect those assets of the CDOT system that are important to the capability of CDOT to provide system resilience and allow for movement of travelers across the state. Figure 5 is a map of CDOT asset criticality by CDOT Region. Red indicates assets rated high criticality; brown-orange indicates assets of moderate criticality; and low criticality assets are represented in green. Figure 5 – CDOT’s Criticality Map The system level vulnerability evaluation, including criticality mapping, should be updated regularly, particularly in advance of the statewide transportation planning process. CDOT has a criticality model for System Resilience. Criticality reflects the importance of each transportation asset relative to overall operations in CDOT’s transportation network. Criticality considers overall resilience of the system and success of CDOT to carry out its mission of d"
"CO","26","tool; gis; screening; RIT","","26 CDOT Resilience Improvement Plan of the project lifecycle, including planning, asset management and project prioritization, project development and environmental review, project level design, system management and operations, and emergency management. The goal should be to build both technical resiliency by hardening or improving the physical system assets and organizational resiliency to improve CDOT’s ability to make decisions and take actions to plan and respond to events. The following sections define how resiliency could be integrated into various aspects of the project lifecycle: 1. Project Prioritization: Project screening and evaluation, which is the process used to prioritize projects and inform investment decisions, should consider resiliency as an evaluation criterion. For example, is the project located on a critical route? Would the project improve system resiliency? 2. Project Development and Environmental Review: Priority projects (e.g., those included in the 10-Year Plan) that are in hazard areas should be evaluated using the toolkit in Section 4.2 to identify design or operation strategies to reduce identified vulnerability. 3. Project Design: As a project advan"
"CO","30","tool; map; interactive; application; RIT","","30 CDOT Resilience Improvement Plan Attribute Description A Resilient Transportation Asset Technical Examples A Resilient Transportation Organization Organizational Examples function at high performance. emergency washouts. events. Learns from the success or failure of previous efforts to improve response time. mobilize needed contractor assistance. Establish and monitor performance measures for emergency response time. Traffic Incident Management Plan adopted. Conducting emergency response drills. 4.2 Project Development Resilience Toolkit CDOT presents this step-wise toolkit for integrating resilience considerations into project development for the 10-Year Plan pipeline projects. Step 1 applies to all projects in the toolkit. Step 2 and Step 3 apply primarily to projects that are most vulnerable as described in Section 2 that would be eligible for PROTECT Formula Program Funds. This toolkit includes CDOT tools and resources referenced in Section 4.3. The workflow includes these steps: 1. Document the project description, scope, and budget, including the highway and milepost to milepost location. Describe the phase the project is currently in. Finally, list the major scope items. "
"CO","31","tool; map; interactive; application; RIT","","31 CDOT Resilience Improvement Plan construction, operations, and maintenance. CDOT’s Risk and Resiliency Project Scoring Tool is available for aiding in project prioritization and documenting the 4R attributes. CDOT developed the Detour Identification Tool (2021) to inform evaluation and selection of detours. It was developed with the statewide travel demand management team to offer detour suggestions. At this time, the tool does not reroute real time based on congestion. 5. Identify projects eligible for PROTECT Formula Program funds: Document the findings in a memo to be used to determine PROTECT Formula Program eligibility. Integrate resilience considerations and solutions into stakeholder coordination (see Section 1.3), National Environmental Policy Act (NEPA) evaluations, securing funding, decision-making, design, and construction. Carrying forward decisions made during earlier phases and further analyzing the resilient options will assist the project team in delivering the most cost beneficial project that will withstand the threats identified. 4.3 Risk and Resilience Suite of Tools The following tools aid CDOT staff in resilience planning. 4.3.1 Asset Resiliency Mapping App"
"CO","32","tool; map; application; RIT","","32 CDOT Resilience Improvement Plan Figure 6 - CDOT Asset Resiliency Mapping Application Using this data, CDOT conducted geospatial analysis on the 10-Year Plan projects to identify projects that are located within or near (within one-quarter mile of) a hazard zone for fire, flood, avalanche, or geohazard risks. CDOT also assessed the criticality of the highway corridor associated with each project. 10-Year Plan projects that are in or near risk areas and that are along corridors with moderate to high criticality may be most vulnerable to natural hazard threats. In addition, CDOT included a summary of whether each pipeline project is included in an area considered as a disproportionately impacted community. The analysis is based on data from the EPA’s EJSCREEN tool. For these most vulnerable projects, the Resilience Suite of Tools described in this section could be used to inform decision-making, with resilience in mind, during project scoping and project delivery. 4.3.2 Risk Assessment Manual (RAMCAP Process) CDOT started an Interstate 70 Corridor Risk and Resilience (R and R) Pilot in 2015 to examine the Interstate 70 highway system’s ability to serve traffic demand during times "
"CO","33","tool; map; RIT","","33 CDOT Resilience Improvement Plan damage is incurred. This process involved conducting a benefit-cost analysis to determine the financial risk of potential damage to all assets along this corridor. The agency separated asset risks into two categories: the risk to the owner (the risk to CDOT to replace damaged assets) and the risk to the user (the delay in a user’s trip caused by a road closure/route detour due to asset unavailability). CDOT incorporated the results of the asset vulnerability assessment from this R and R Pilot into its overall asset management program. CDOT used the Risk Analysis and Management for Critical Assets Protection (RAMCAP Plus) framework to identify Interstate 70’s most critical assets based on threats and vulnerability and identify those where damage would most severely impact the operation of the highway system. CDOT then developed and documented a standardized R and R analysis process which also uses RAMCAP. This process is documented in a manual, adopted in 2020, with instruction and assumptions on how to conduct R and R analyses on CDOT assets in the future, with a goal of improving consistency of analyses across different regions of the state. In "
"CO","34","tool; gis","","34 CDOT Resilience Improvement Plan 4.3.4 Risk and Resilience Assessment Tool The R and R tool is intended to support CDOT staff in their analysis of risk from physical threats to highway assets. It follows the common risk-management approach and a standard risk register format, tailored to CDOT. Given the relatively new field of quantitative risk assessment to highway assets from physical threats, the procedure is focused on threat-asset pairs. Each of the following threat-asset pairs was deemed reasonable to anticipate physical losses to CDOT assets or to impact travel: • Rockfall-Roadway Prism • Rockfall-Bridge • Rockfall-Post Tension Concrete Slab (PTCS) • Flood-Roadway Prism • Flood-Bridge • Flood-Bridge Approach • Flood-Minor Culvert • Flood-Major Culvert • Scour-Bridge • Fire-Debris Flow-Culvert • Fire-Debris Flow-Roadway Prism The R and R tool produces a benefit-cost ratio, which can be used to inform planning and investment decisions. 4.4 Operational Resilience CDOT is engaged in numerous efforts to incorporate resiliency into operations. The following subsections detail processes related to event response and recovery, while Section 4.1-4.3 covers proactive planning measu"
"CO","35","RIT","","35 CDOT Resilience Improvement Plan 2. Alert and Notification: This phase refers to the communication and coordination of essential functions with personnel before, during, and after a continuity event. 3. Continuity Operations: This phase refers to the execution of mission essential functions and essential supporting activities at an alternative location. 4. Reconstitution: This phase refers to the conclusion of the continuity event and the resumption of normal operations. To activate the continuity plan, the trigger points identified below may help identify an event and will be activated by the director or the assigned designee. When activated, employees will work at alternative locations listed in their division’s continuity plan. Within twelve hours of the Continuity of Operations Plan activation, the Reconstitution Point-of-Contact (POC) will work with the Reconstitution Team to update office personnel on developments regarding reconstitution. The continuity event is concluded when normal operations are resumed, or the definition of new normal is outlined. Table 5 - Decision Matrix for Continuity of Operations Plan Implementation Event Duty Hours Non-Duty Hours With Warning • "
"CO","36","RIT","","36 CDOT Resilience Improvement Plan beneficial and effective decision regarding prioritization. It should be performed within the first few hours after the event, or as soon as first responder and field personnel can enter the area, to determine the nature and extent of life safety and damage to critical facilities. 2. Initial Damage Assessment (IDA) is an ongoing evaluation of buildings and infrastructure to determine the extent of the damage, cost, and impact. It is used to help determine the usability of critical facilities and is the first step in applying for federal assistance. This phase typically occurs 48 hours to two weeks following the event. 3. Joint Preliminary Damage Assessment (PDA) is a joint assessment to determine if the situation is beyond the combined capabilities of the state and local resources, and to verify the need for supplemental federal assistance. This phase typically occurs two to three weeks following the event, taking three to five days to complete. 4. Recovery Assessment is used to determine short- and long-term recovery needs within CDOT, outlining the priorities for restoration. 4.4.2 Snow Plow Routes The effort and priority of maintaining the roa"
"CO","38","tool; map; RIT","","38 CDOT Resilience Improvement Plan • Section 5 establishes the methodology of communicating during and after an evacuation, both internally and externally. This may include a call list, back up resources, and communication procedures. • Section 6 consists of detailed requirements and availability of services for the facility during the evaluation scenario. • Section 7 identifies who is responsible for coordinating revision of the evacuation annex. This may include keeping current attachments and ensuring necessary implementing documents are developed. • Section 8 cites the authorities and references related to an evacuation. • Section 9 uses tabs to gather important procedural information for the annex, such as maps, transportation plans, and shelter plans, which can be easily accessed and distributed during an emergency. The Evacuation Functional Annex is a living document that should undergo revisions each time it is used to build the most optimal plan. Visit the Colorado Department of Public Health & Environment website for detailed steps in the process. 4.5 Recovery Toolkits Resilience planning is essential to ensure the long-term viability, safety, and adaptability to communi"
"CO","39","tool; map; portal; application; risk map; RIT","","39 CDOT Resilience Improvement Plan 4.6 Available Resources Regarding Resilience Planning CDOT has consolidated a summary of resilience planning resources and documentation from within CDOT and from other state, federal, and national entities, which are listed below. CDOT makes its resilience resources readily available for project teams and decision makers to identify threats relative to project locations and to consider mitigation solutions. CDOT resources available on the Risk and Resilience Program Website: • PD 1905.0 “Building Resilience into Transportation Infrastructure and Operations” (2018) • Risk and Resilience Analysis Procedure: A Manual for Calculating Risk to CDOT Assets from Flooding, Rockfall, and Fire Debris Flow (2020) • Risk and Resilience Excel Spreadsheet Tool (2022) • Asset Criticality Model for System Resilience • Risk and Resilience Project Scoring Tool • 4R Framework for Identifying and Evaluating Resiliency in Transportation System Assets and Organizations (2021) • CDOT Detour Identification Tool (2021) • CDOT Asset Resiliency Mapping Application (2021) • Resilience Case Studies: o Asset Management o Project Prioritization and Long-Range Planning o Mainte"
"CO","40","tool; map; screening; RIT","","40 CDOT Resilience Improvement Plan • Colorado Freight Plan • Colorado Climate Preparedness Roadmap (2023) • Colorado Department of Public Health and Environment (CDPHE) Office of Preparedness and Response • CDPHE Heat and Health • CDPHE Wildfire Preparedness, Response, and Recovery Federal resources: • 23 Code of Federal Regulations 667 • FHWA Resilience website • Climate and Economic Justice Screening Tool • Climate Mapping for Resilience and Adaptation (CMRA) website • BLM Forest Resilience and Ecosystem Services website • Federal Transit Administration Disaster Resilience & Transit Asset Management presentation (2017) • Federal Emergency Management Agency (FEMA) website • U.S. Forest Service (USFS) Transportation Resiliency Guidebook: Addressing Climate Change Impacts on USFS Transportation Assets • EPA Climate Change and Social Vulnerability Report (2021) • Environmental Protection Agency Adapting to Heat National organization resources: • AASHTO Resilience & Sustainability Management • American Planning Association Planning for Infrastructure Resilience Report 596 (2019) • National Institute of Building Sciences Natural Hazard Mitigation Saves Report (2019) • AASHTO Resilienc"
"CO","41","tool; gis; RIT","","41 CDOT Resilience Improvement Plan potential resilient opportunities to invest in. The graphic below provides a quick visualization of the total process, and each step is described in more detail. Figure 8 - Prioritization Process and Investment Plan 5.2 Integration of Risk and Resilience into the Long-Range Planning Process As part of the long-range planning process, CDOT develops a 10-Year Plan. The 10-Year Plan is a statewide list of priority transportation projects developed alongside the long-range plan development. To develop the 10-Year Plan, CDOT implemented the following process: 1. Conduct stakeholder outreach to elicit transportation needs. 2. Aggregate needs to corridors, identify disproportionately impacted communities’ considerations, and develop project lists. 3. Prioritization of projects by Transportation Planning Regions (TPRs) and MPOs based on Colorado TC criteria. 4. TPRs and CDOT engineers collaborate on project prioritization. 5. CDOT Regions identify projects lists for the 10-Year Plan. 6. 10-Year Plan is approved by the TC. The 10-Year Plan reflects the highest priorities of the state, MPOs, and TPRs. The plan’s purpose is to create an implementable strate"
"CO","42","tool; map; interactive; application; screening; RIT","","42 CDOT Resilience Improvement Plan and medium criticality project locations using the CRO’s Resiliency Prioritization Assessment Tool. CDOT conducted two workshops with an interdisciplinary team of staff participated from the Division of Transportation Development (DTD), the Division of Transit & Rail (DTR), and CDOT Regions where the CRO Prioritization Assessment Tool was used to evaluate 10-Year Plan projects for resiliency potential using the following steps: • Criticality: Use criticality layer on CDOT’s Asset Resiliency Interactive Mapping Application to assign high, moderate, or low criticality. • Screening level risk assessment: Identify potential risks from natural threats at the project location (or document logic for human-made risk) using the mapping application, and assign high, medium, or low risk. • Whether using current standards incorporates resiliency: Document that assets at risk as identified in one of the map layers incorporates resiliency by using current standards or construction practices. Use the 4R Framework to identify and evaluate resiliency in transportation assets. • Projects with multiple assets/risks: Select each risk that could affect the asset. • A"
"CO","43","RIT","","43 CDOT Resilience Improvement Plan 7. Long-Term and Lasting Impact - Create long-term gains for the community with solutions that are replicable and sustainable, creating benefits for present and future generations. 8. Social Equity - Provide solutions that are inclusive with consideration to populations that are often most fragile and vulnerable to sudden impacts due to their continual state of stress. 9. Technical Soundness - Identify solutions that reflect best practices that have been tested and proven to work in similar regional context. The output of the evaluations is being used to identify 10-Year Plan projects that could be eligible to use PROTECT funds. 5.3 Implementing the Resilience Assessment Process In CDOT’s process, when a 10-Year Plan project is ready to go into the budgeting and design phase, those projects identified as high criticality are flagged and referred to CDOT’s Risk and Resilience Program Manager to guide the project team on resilience considerations in scope development (see Figure 9). When a project has scope that could enhance resilience, they are instructed to complete the full risk and resilience assessment process described in Section 4: Risk and"
"CO","44","tool; RIT","","44 CDOT Resilience Improvement Plan plan 10-year pipeline, and to provide a resilience toolkit for integrating resilience considerations into project development. The original appendix was built on the extensive work CDOT has done through its Risk and Resilience Program. In 2022, CDOT published the Transportation Asset Management Plan, which utilizes risk-based asset management strategies and applies resilience concepts. In 2022, CDOT updated this resilience appendix to incorporate additional progress of its Risk and Resilience Program and to address requirements of a new federal initiative that promotes resilience planning in transportation. Furthermore, CDOT is developing resilience performance measures, which will be available in 2022. These performance measures will provide insight into CDOT’s investments in resilience and will inform decision-making, based on documented experiences. These performance measures may be evaluated and updated over time. 5.4 Forecasted PROTECT Funding The PROTECT program was established by the Bipartisan Infrastructure Law (BIL). PROTECT allocated federal funding will be invested to safeguard critical transportation infrastructure for Colorado trave"
"CO","46","application","","46 CDOT Resilience Improvement Plan 6.1 Application of Climate Modeling Since transportation assets can be affected by the intensity, duration, and frequency of precipitation—a contributing factor to top natural hazards including flooding and post-fire debris flow—future projected precipitation events may need to be addressed further in planning and design. CDOT’s 2021 climate study found that geohazards are influenced by extremes and rate changes, such as the projected shift towards more severe rainfall events. Storms with rainfall intensities and durations that are currently described as having a 100-year return period (understood as a 1 in 100 chance of occurrence) are anticipated to become more common in the future and shift to having a 50-year return period (or a 1 in 50 chance of occurrence). These climate shifts are anticipated to affect the occurrence and magnitude of geologic hazards, with corresponding economic impacts. To develop an approach applying future precipitation modeling, CDOT will further review two pertinent studies from the CWCB: • Climate Change in Colorado (2024) • Statewide Precipitation Scaling for Future Conditions (2024) These Colorado-specific studies "
